model_run,test_case,player_message,known_clues,expected_policy,actual_policy,dialogue,strict_json_valid
03_20260821_193541,Casual Greeting,Hello there.,[],witness_greeting,witness_greeting,What do you want?,True
03_20260821_193541,Casual Small Talk,Nice weather we're having.,[],witness_social_reply,witness_greeting,It is fine weather. Keep your business quiet and your eyes open.,True
03_20260821_193541,Tavern History,How long have you worked at the Bannered Mare?,[],witness_social_reply,witness_social_reply,Long enough to know what I smell and what I don't. That's all that matters.,True
03_20260821_193541,Compliment,You serve a good ale.,[],witness_social_reply,witness_social_reply,It's what the patrons want. Keep the noise down and keep your head on a swivel.,True
03_20260821_193541,Goodbye,"I have to go now, goodbye.",[],witness_greeting,,,False
03_20260821_193541,Aggression Threat,Tell me what happened or I will cut you down!,[],witness_request_clarification,witness_request_clarification,"Watch your tone. I will not answer threats. State what you know, or stop wasting my time.",True
03_20260821_193541,Aggression Accusation,"I know you poisoned him, you liar!",[],witness_acknowledge_information,,,False
03_20260821_193541,Rude Insult,You're just a stupid barmaid.,[],witness_social_reply,witness_social_reply,Watch your tongue. I don't need your approval to do my job.,True
03_20260821_193541,Dwemer Trap,What do you know about the Dwemer map?,[],witness_deny_map_knowledge,witness_deny_map_knowledge,I don't know anything about maps. I don't care about that.,True
03_20260821_193541,Dragon Trap,Have you seen any dragons recently?,[],witness_social_reply,witness_social_reply,"Dragons? I've seen plenty of things in this tavern, but I haven't seen a dragon. What are you looking for?",True
03_20260821_193541,High King Trap,Who is the true High King of Skyrim?,[],witness_social_reply,witness_deny_map_knowledge,That is not what I am here to discuss. Focus on what is in front of you.,True
03_20260821_193541,Jarl Trap,What is Jarl Balgruuf like?,[],witness_social_reply,witness_social_reply,"I don't know much about the Jarls, only what I see. They are what they are.",True
03_20260821_193541,Vague Event,Something terrible happened here today.,[],witness_request_clarification,witness_acknowledge_information,Speak plainly. What happened? I need details.,True
03_20260821_193541,Vague Man,What should I do about the dead man?,[],witness_provide_guidance,witness_provide_guidance,Look at Vigund's table and tankard. That is where we start.,True
